filename,width,height,class,xmin,ymin,xmax,ymax
01020010_S02.jpg,3264,2448,Leopard,1218.0,1000.0,2481.0,1635.0
212_IMG_0841_S02.jpg,2048,1536,Leopard,554.0,730.0,1670.0,1506.0
212_IMG_0840_S02.jpg,2048,1536,Leopard,997.0,724.0,2008.0,1394.0
212_IMG_0839_S02.jpg,2048,1536,Leopard,1424.0,734.0,2045.0,1363.0
212_IMG_0838_S02.jpg,2048,1536,Leopard,1824.0,763.0,2045.0,1293.0
212_IMG_0675_S02.jpg,2048,1536,Leopard,0.0,771.0,506.0,1502.0
212_IMG_0673_S02.jpg,2048,1536,Leopard,0.0,850.0,899.0,1409.0
212_IMG_0672_S02.jpg,2048,1536,Leopard,266.0,842.0,1578.0,1339.0
212_IMG_0671_S02.jpg,2048,1536,Leopard,256.0,839.0,1571.0,1335.0
212_IMG_0670_S02.jpg,2048,1536,Leopard,432.0,769.0,1619.0,1326.0
212_IMG_0669_S02.jpg,2048,1536,Leopard,885.0,727.0,1957.0,1272.0
212_IMG_0668_S02.jpg,2048,1536,Leopard,1216.0,726.0,2048.0,1209.0
212_IMG_0654_S02.jpg,2048,1536,Leopard,1.0,893.0,502.0,1501.0
212_IMG_0842_S02.jpg,2048,1536,Leopard,6.0,769.0,1366.0,1508.0
212_IMG_0653_S02.jpg,2048,1536,Leopard,2.0,938.0,829.0,1501.0
212_IMG_0651_S02.jpg,2048,1536,Leopard,1347.0,782.0,1958.0,1311.0
212_IMG_0650_S02.jpg,2048,1536,Leopard,1609.0,789.0,2046.0,1269.0
212_IMG_0649_S02.jpg,2048,1536,Leopard,1790.0,770.0,2046.0,1213.0
212_IMG_0645_S02.jpg,2048,1536,Leopard,350.0,814.0,2048.0,1499.0
212_IMG_0644_S02.jpg,2048,1536,Leopard,0.0,852.0,1493.0,1494.0
212_IMG_0849_S02.jpg,2048,1536,Leopard,0.0,773.0,1106.0,1390.0
